央视频道,#genre#
CCTV1,http://58.254.14.34:808/hls/1/index.m3u8
CCTV2,http://58.254.14.34:808/hls/2/index.m3u8
CCTV3,http://58.254.14.34:808/hls/3/index.m3u8
CCTV4,http://58.254.14.34:808/hls/4/index.m3u8
CCTV5,http://58.254.14.34:808/hls/5/index.m3u8
CCTV6,http://58.254.14.34:808/hls/6/index.m3u8
CCTV7,http://58.254.14.34:808/hls/7/index.m3u8
CCTV8,http://58.254.14.34:808/hls/8/index.m3u8
CCTV9,http://58.254.14.34:808/hls/9/index.m3u8
CCTV10,http://58.254.14.34:808/hls/10/index.m3u8
CCTV11,http://58.254.14.34:808/hls/11/index.m3u8
CCTV12,http://58.254.14.34:808/hls/12/index.m3u8
CCTV13,http://58.254.14.34:808/hls/13/index.m3u8
CCTV14,http://58.254.14.34:808/hls/14/index.m3u8
CCTV15,http://58.254.14.34:808/hls/15/index.m3u8
央视台球,http://58.254.14.34:808/hls/72/index.m3u8
卫视频道,#genre#
湖南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
湖南卫视,http://58.254.14.34:808/hls/16/index.m3u8
江苏卫视,http://58.254.14.34:808/hls/17/index.m3u8
浙江卫视,http://58.254.14.34:808/hls/18/index.m3u8
北京卫视,http://58.254.14.34:808/hls/22/index.m3u8
安徽卫视,http://58.254.14.34:808/hls/23/index.m3u8
黑龙江卫视,http://58.254.14.34:808/hls/24/index.m3u8
湖北卫视,http://58.254.14.34:808/hls/25/index.m3u8
天津卫视,http://58.254.14.34:808/hls/73/index.m3u8
山东卫视,http://58.254.14.34:808/hls/27/index.m3u8
贵州卫视,http://58.254.14.34:808/hls/28/index.m3u8
辽宁卫视,http://58.254.14.34:808/hls/29/index.m3u8
四川卫视,http://58.254.14.34:808/hls/30/index.m3u8
重庆卫视,http://58.254.14.34:808/hls/31/index.m3u8

河南卫视,http://58.254.14.34:808/hls/35/index.m3u8
云南卫视,http://58.254.14.34:808/hls/36/index.m3u8
河北卫视,http://58.254.14.34:808/hls/37/index.m3u8
东南卫视,http://58.254.14.34:808/hls/38/index.m3u8

山西卫视,http://58.254.14.34:808/hls/42/index.m3u8
吉林卫视,http://58.254.14.34:808/hls/43/index.m3u8

海南卫视,http://58.254.14.34:808/hls/45/index.m3u8

西藏卫视,http://58.254.14.34:808/hls/47/index.m3u8
新疆卫视,http://58.254.14.34:808/hls/48/index.m3u8
甘肃卫视,http://58.254.14.34:808/hls/49/index.m3u8
东方卫视,http://58.254.14.34:808/hls/50/index.m3u8
厦门卫视,http://58.254.14.34:808/hls/63/index.m3u8
广东频道,#genre#
广东珠江,http://58.254.14.34:808/hls/55/index.m3u8
大湾区卫视,http://58.254.14.34:808/hls/51/index.m3u8
广东卫视,http://58.254.14.34:808/hls/21/index.m3u8
广东新闻,http://58.254.14.34:808/hls/52/index.m3u8
广东影视,http://58.254.14.34:808/hls/53/index.m3u8
广东少儿,http://58.254.14.34:808/hls/54/index.m3u8
广东民生,http://58.254.14.34:808/hls/58/index.m3u8
4K超高清,http://58.254.14.34:808/hls/66/index.m3u8
翡翠台,http://i2.ekesh.cn:4001/rtp/239.12.22.121:10001
